video-name,video-duration,fps,video-frames,b-up,b-down,b-left,b-right
1653930304955,67.167,30,2015,6.4,125.0,37.6,170.0
IMG_3080,81.567,30,2447,6.0,125.0,44.0,192.8
IMG_3081,107.567,30,3227,5.2,125.0,46.8,179.6
IMG_3082,91.967,30,2759,5.6,125.0,44.4,217.4
IMG_3085,91.567,30,2747,6.0,125.0,32.8,195.8
video-1653398996,74.933,30,2248,3.2,123.2,29.2,176.6
video-1653399167,96.6,30,2898,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro,83.867,30,2516,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro,235.167,30,7055,4.4,125.6,23.6,184.4
WIN_20220531_00_04_38_Pro,138.8,30,4164,7.6,126.2,30.4,205.4
WIN_20220603_21_55_08_Pro,102.167,30,3065,6.0,122.6,29.2,204.2
video-1654212438,45.533,30,1366,3.2,117.2,33.6,212.0
video-1654212533,65.433,30,1963,4.4,116.6,30.0,218.6
video-1654126006,11.633,30,349,3.2,122.6,12.8,169.4
1654213852136,88.133,30,2644,6.0,125.0,23.6,194.6
video-1654419024,174.7,30,5241,11.6,124.4,12.4,183.8
