video-name,video-duration,fps,video-frames,b-up,b-down,b-left,b-right
1653930304955_no_0,67.167,30,2015,6.4,125.0,37.6,170.0
IMG_3080_no_0,81.567,30,2447,6.0,125.0,44.0,192.8
IMG_3081_no_0,107.567,30,3227,5.2,125.0,46.8,179.6
IMG_3082_no_0,91.967,30,2759,5.6,125.0,44.4,217.4
IMG_3085_no_0,91.567,30,2747,6.0,125.0,32.8,195.8
video-1653398996_no_0,74.933,30,2248,3.2,123.2,29.2,176.6
video-1653399167_no_0,96.6,30,2898,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_0,83.867,30,2516,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_0,235.167,30,7055,4.4,125.6,23.6,184.4
WIN_20220531_00_04_38_Pro_no_0,138.8,30,4164,7.6,126.2,30.4,205.4
WIN_20220603_21_55_08_Pro_no_0,102.167,30,3065,6.0,122.6,29.2,204.2
video-1654212438_no_0,45.533,30,1366,3.2,117.2,33.6,212.0
video-1654212533_no_0,65.433,30,1963,4.4,116.6,30.0,218.6
video-1654126006_no_0,11.633,30,349,3.2,122.6,12.8,169.4
1654213852136_no_0,88.133,30,2644,6.0,125.0,23.6,194.6
video-1654419024_no_0,174.7,30,5241,11.6,124.4,12.4,183.8
1653930304955_no_1,67.167,30,2015,6.4,125.0,37.6,170.0
IMG_3080_no_1,81.567,30,2447,6.0,125.0,44.0,192.8
IMG_3081_no_1,107.567,30,3227,5.2,125.0,46.8,179.6
IMG_3082_no_1,91.967,30,2759,5.6,125.0,44.4,217.4
IMG_3085_no_1,91.567,30,2747,6.0,125.0,32.8,195.8
video-1653398996_no_1,74.933,30,2248,3.2,123.2,29.2,176.6
video-1653399167_no_1,96.6,30,2898,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_1,83.867,30,2516,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_1,235.167,30,7055,4.4,125.6,23.6,184.4
WIN_20220531_00_04_38_Pro_no_1,138.8,30,4164,7.6,126.2,30.4,205.4
WIN_20220603_21_55_08_Pro_no_1,102.167,30,3065,6.0,122.6,29.2,204.2
video-1654212438_no_1,45.533,30,1366,3.2,117.2,33.6,212.0
video-1654212533_no_1,65.433,30,1963,4.4,116.6,30.0,218.6
video-1654126006_no_1,11.633,30,349,3.2,122.6,12.8,169.4
1654213852136_no_1,88.133,30,2644,6.0,125.0,23.6,194.6
video-1654419024_no_1,174.7,30,5241,11.6,124.4,12.4,183.8
1653930304955_no_2,67.167,30,2015,6.4,125.0,37.6,170.0
IMG_3080_no_2,81.567,30,2447,6.0,125.0,44.0,192.8
IMG_3081_no_2,107.567,30,3227,5.2,125.0,46.8,179.6
IMG_3082_no_2,91.967,30,2759,5.6,125.0,44.4,217.4
IMG_3085_no_2,91.567,30,2747,6.0,125.0,32.8,195.8
video-1653398996_no_2,74.933,30,2248,3.2,123.2,29.2,176.6
video-1653399167_no_2,96.6,30,2898,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_2,83.867,30,2516,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_2,235.167,30,7055,4.4,125.6,23.6,184.4
WIN_20220531_00_04_38_Pro_no_2,138.8,30,4164,7.6,126.2,30.4,205.4
WIN_20220603_21_55_08_Pro_no_2,102.167,30,3065,6.0,122.6,29.2,204.2
video-1654212438_no_2,45.533,30,1366,3.2,117.2,33.6,212.0
video-1654212533_no_2,65.433,30,1963,4.4,116.6,30.0,218.6
video-1654126006_no_2,11.633,30,349,3.2,122.6,12.8,169.4
1654213852136_no_2,88.133,30,2644,6.0,125.0,23.6,194.6
video-1654419024_no_2,174.7,30,5241,11.6,124.4,12.4,183.8
1653930304955_no_3,67.167,30,2015,6.4,125.0,37.6,170.0
IMG_3080_no_3,81.567,30,2447,6.0,125.0,44.0,192.8
IMG_3081_no_3,107.567,30,3227,5.2,125.0,46.8,179.6
IMG_3082_no_3,91.967,30,2759,5.6,125.0,44.4,217.4
IMG_3085_no_3,91.567,30,2747,6.0,125.0,32.8,195.8
video-1653398996_no_3,74.933,30,2248,3.2,123.2,29.2,176.6
video-1653399167_no_3,96.6,30,2898,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_3,83.867,30,2516,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_3,235.167,30,7055,4.4,125.6,23.6,184.4
WIN_20220531_00_04_38_Pro_no_3,138.8,30,4164,7.6,126.2,30.4,205.4
WIN_20220603_21_55_08_Pro_no_3,102.167,30,3065,6.0,122.6,29.2,204.2
video-1654212438_no_3,45.533,30,1366,3.2,117.2,33.6,212.0
video-1654212533_no_3,65.433,30,1963,4.4,116.6,30.0,218.6
video-1654126006_no_3,11.633,30,349,3.2,122.6,12.8,169.4
1654213852136_no_3,88.133,30,2644,6.0,125.0,23.6,194.6
video-1654419024_no_3,174.7,30,5241,11.6,124.4,12.4,183.8
1653930304955_no_4,67.167,30,2015,6.4,125.0,37.6,170.0
IMG_3080_no_4,81.567,30,2447,6.0,125.0,44.0,192.8
IMG_3081_no_4,107.567,30,3227,5.2,125.0,46.8,179.6
IMG_3082_no_4,91.967,30,2759,5.6,125.0,44.4,217.4
IMG_3085_no_4,91.567,30,2747,6.0,125.0,32.8,195.8
video-1653398996_no_4,74.933,30,2248,3.2,123.2,29.2,176.6
video-1653399167_no_4,96.6,30,2898,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_4,83.867,30,2516,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_4,235.167,30,7055,4.4,125.6,23.6,184.4
WIN_20220531_00_04_38_Pro_no_4,138.8,30,4164,7.6,126.2,30.4,205.4
WIN_20220603_21_55_08_Pro_no_4,102.167,30,3065,6.0,122.6,29.2,204.2
video-1654212438_no_4,45.533,30,1366,3.2,117.2,33.6,212.0
video-1654212533_no_4,65.433,30,1963,4.4,116.6,30.0,218.6
video-1654126006_no_4,11.633,30,349,3.2,122.6,12.8,169.4
1654213852136_no_4,88.133,30,2644,6.0,125.0,23.6,194.6
video-1654419024_no_4,174.7,30,5241,11.6,124.4,12.4,183.8
1653930304955_no_5,67.167,30,2015,6.4,125.0,37.6,170.0
IMG_3080_no_5,81.567,30,2447,6.0,125.0,44.0,192.8
IMG_3081_no_5,107.567,30,3227,5.2,125.0,46.8,179.6
IMG_3082_no_5,91.967,30,2759,5.6,125.0,44.4,217.4
IMG_3085_no_5,91.567,30,2747,6.0,125.0,32.8,195.8
video-1653398996_no_5,74.933,30,2248,3.2,123.2,29.2,176.6
video-1653399167_no_5,96.6,30,2898,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_5,83.867,30,2516,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_5,235.167,30,7055,4.4,125.6,23.6,184.4
WIN_20220531_00_04_38_Pro_no_5,138.8,30,4164,7.6,126.2,30.4,205.4
WIN_20220603_21_55_08_Pro_no_5,102.167,30,3065,6.0,122.6,29.2,204.2
video-1654212438_no_5,45.533,30,1366,3.2,117.2,33.6,212.0
video-1654212533_no_5,65.433,30,1963,4.4,116.6,30.0,218.6
video-1654126006_no_5,11.633,30,349,3.2,122.6,12.8,169.4
1654213852136_no_5,88.133,30,2644,6.0,125.0,23.6,194.6
video-1654419024_no_5,174.7,30,5241,11.6,124.4,12.4,183.8
1653930304955_no_6,100.7505,30,3022,6.4,125.0,37.6,170.0
IMG_3080_no_6,122.35049999999998,30,3670,6.0,125.0,44.0,192.8
IMG_3081_no_6,161.35049999999998,30,4840,5.2,125.0,46.8,179.6
IMG_3082_no_6,137.9505,30,4138,5.6,125.0,44.4,217.4
IMG_3085_no_6,137.35049999999998,30,4120,6.0,125.0,32.8,195.8
video-1653398996_no_6,112.39950000000002,30,3372,3.2,123.2,29.2,176.6
video-1653399167_no_6,144.89999999999998,30,4347,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_6,125.8005,30,3774,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_6,208.20000000000002,30,6246,7.6,126.2,30.4,205.4
WIN_20220531_00_04_38_Pro_no_6,153.2505,30,4597,6.0,122.6,29.2,204.2
WIN_20220603_21_55_08_Pro_no_6,68.2995,30,2049,3.2,117.2,33.6,212.0
video-1654212438_no_6,98.14950000000002,30,2944,4.4,116.6,30.0,218.6
video-1654212533_no_6,17.4495,30,523,3.2,122.6,12.8,169.4
video-1654126006_no_6,132.1995,30,3966,6.0,125.0,23.6,194.6
1654213852136_no_6,262.04999999999995,30,7861,11.6,124.4,12.4,183.8
1653930304955_no_7,100.7505,30,3022,6.4,125.0,37.6,170.0
IMG_3080_no_7,122.35049999999998,30,3670,6.0,125.0,44.0,192.8
IMG_3081_no_7,161.35049999999998,30,4840,5.2,125.0,46.8,179.6
IMG_3082_no_7,137.9505,30,4138,5.6,125.0,44.4,217.4
IMG_3085_no_7,137.35049999999998,30,4120,6.0,125.0,32.8,195.8
video-1653398996_no_7,112.39950000000002,30,3372,3.2,123.2,29.2,176.6
video-1653399167_no_7,144.89999999999998,30,4347,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_7,125.8005,30,3774,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_7,208.20000000000002,30,6246,7.6,126.2,30.4,205.4
WIN_20220531_00_04_38_Pro_no_7,153.2505,30,4597,6.0,122.6,29.2,204.2
WIN_20220603_21_55_08_Pro_no_7,68.2995,30,2049,3.2,117.2,33.6,212.0
video-1654212438_no_7,98.14950000000002,30,2944,4.4,116.6,30.0,218.6
video-1654212533_no_7,17.4495,30,523,3.2,122.6,12.8,169.4
video-1654126006_no_7,132.1995,30,3966,6.0,125.0,23.6,194.6
1654213852136_no_7,262.04999999999995,30,7861,11.6,124.4,12.4,183.8
1653930304955_no_8,100.7505,30,3022,6.4,125.0,37.6,170.0
IMG_3080_no_8,122.35049999999998,30,3670,6.0,125.0,44.0,192.8
IMG_3081_no_8,161.35049999999998,30,4840,5.2,125.0,46.8,179.6
IMG_3082_no_8,137.9505,30,4138,5.6,125.0,44.4,217.4
IMG_3085_no_8,137.35049999999998,30,4120,6.0,125.0,32.8,195.8
video-1653398996_no_8,112.39950000000002,30,3372,3.2,123.2,29.2,176.6
video-1653399167_no_8,144.89999999999998,30,4347,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_8,125.8005,30,3774,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_8,208.20000000000002,30,6246,7.6,126.2,30.4,205.4
WIN_20220531_00_04_38_Pro_no_8,153.2505,30,4597,6.0,122.6,29.2,204.2
WIN_20220603_21_55_08_Pro_no_8,68.2995,30,2049,3.2,117.2,33.6,212.0
video-1654212438_no_8,98.14950000000002,30,2944,4.4,116.6,30.0,218.6
video-1654212533_no_8,17.4495,30,523,3.2,122.6,12.8,169.4
video-1654126006_no_8,132.1995,30,3966,6.0,125.0,23.6,194.6
1654213852136_no_8,262.04999999999995,30,7861,11.6,124.4,12.4,183.8
1653930304955_no_9,100.7505,30,3022,6.4,125.0,37.6,170.0
IMG_3080_no_9,122.35049999999998,30,3670,6.0,125.0,44.0,192.8
IMG_3081_no_9,161.35049999999998,30,4840,5.2,125.0,46.8,179.6
IMG_3082_no_9,137.9505,30,4138,5.6,125.0,44.4,217.4
IMG_3085_no_9,137.35049999999998,30,4120,6.0,125.0,32.8,195.8
video-1653398996_no_9,112.39950000000002,30,3372,3.2,123.2,29.2,176.6
video-1653399167_no_9,144.89999999999998,30,4347,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_9,125.8005,30,3774,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_9,208.20000000000002,30,6246,7.6,126.2,30.4,205.4
WIN_20220531_00_04_38_Pro_no_9,153.2505,30,4597,6.0,122.6,29.2,204.2
WIN_20220603_21_55_08_Pro_no_9,68.2995,30,2049,3.2,117.2,33.6,212.0
video-1654212438_no_9,98.14950000000002,30,2944,4.4,116.6,30.0,218.6
video-1654212533_no_9,17.4495,30,523,3.2,122.6,12.8,169.4
video-1654126006_no_9,132.1995,30,3966,6.0,125.0,23.6,194.6
1654213852136_no_9,262.04999999999995,30,7861,11.6,124.4,12.4,183.8
1653930304955_no_10,100.7505,30,3022,6.4,125.0,37.6,170.0
IMG_3080_no_10,122.35049999999998,30,3670,6.0,125.0,44.0,192.8
IMG_3081_no_10,161.35049999999998,30,4840,5.2,125.0,46.8,179.6
IMG_3082_no_10,137.9505,30,4138,5.6,125.0,44.4,217.4
IMG_3085_no_10,137.35049999999998,30,4120,6.0,125.0,32.8,195.8
video-1653398996_no_10,112.39950000000002,30,3372,3.2,123.2,29.2,176.6
video-1653399167_no_10,144.89999999999998,30,4347,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_10,125.8005,30,3774,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_10,208.20000000000002,30,6246,7.6,126.2,30.4,205.4
WIN_20220531_00_04_38_Pro_no_10,153.2505,30,4597,6.0,122.6,29.2,204.2
WIN_20220603_21_55_08_Pro_no_10,68.2995,30,2049,3.2,117.2,33.6,212.0
video-1654212438_no_10,98.14950000000002,30,2944,4.4,116.6,30.0,218.6
video-1654212533_no_10,17.4495,30,523,3.2,122.6,12.8,169.4
video-1654126006_no_10,132.1995,30,3966,6.0,125.0,23.6,194.6
1654213852136_no_10,262.04999999999995,30,7861,11.6,124.4,12.4,183.8
1653930304955_no_11,100.7505,30,3022,6.4,125.0,37.6,170.0
IMG_3080_no_11,122.35049999999998,30,3670,6.0,125.0,44.0,192.8
IMG_3081_no_11,161.35049999999998,30,4840,5.2,125.0,46.8,179.6
IMG_3082_no_11,137.9505,30,4138,5.6,125.0,44.4,217.4
IMG_3085_no_11,137.35049999999998,30,4120,6.0,125.0,32.8,195.8
video-1653398996_no_11,112.39950000000002,30,3372,3.2,123.2,29.2,176.6
video-1653399167_no_11,144.89999999999998,30,4347,4.8,116.6,41.6,218.6
WIN_20220530_23_06_53_Pro_no_11,125.8005,30,3774,4.8,124.4,25.6,188.6
WIN_20220530_23_59_00_Pro_no_11,208.20000000000002,30,6246,7.6,126.2,30.4,205.4
WIN_20220531_00_04_38_Pro_no_11,153.2505,30,4597,6.0,122.6,29.2,204.2
WIN_20220603_21_55_08_Pro_no_11,68.2995,30,2049,3.2,117.2,33.6,212.0
video-1654212438_no_11,98.14950000000002,30,2944,4.4,116.6,30.0,218.6
video-1654212533_no_11,17.4495,30,523,3.2,122.6,12.8,169.4
video-1654126006_no_11,132.1995,30,3966,6.0,125.0,23.6,194.6
1654213852136_no_11,262.04999999999995,30,7861,11.6,124.4,12.4,183.8
