video-name,t-start,t-end,action-label,video-duration,filename,fps,video-frames,temporal-region-label,b-up,b-down,b-left,b-right
1653930304955,4.14,9.04,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
1653930304955,9.94,15.11,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
1653930304955,15.74,20.64,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
1653930304955,21.61,25.71,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
1653930304955,26.55,30.75,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
1653930304955,31.75,35.52,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
1653930304955,36.42,40.02,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
1653930304955,41.15,45.19,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
1653930304955,46.19,50.09,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
1653930304955,50.99,54.86,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
1653930304955,55.59,59.36,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
1653930304955,60.33,64.27,HandUpDown,67.167,1653930304955.npy,30,2015,Action,6.4,125,37.6,170
IMG_3080,12.76,19.65,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6,125,44,192.8
IMG_3080,21.85,29.61,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6,125,44,192.8
IMG_3080,31.87,40.6,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6,125,44,192.8
IMG_3080,43.06,51.82,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6,125,44,192.8
IMG_3080,53.82,61.02,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6,125,44,192.8
IMG_3080,63.35,73.51,HandUpDown,81.567,IMG_3080.npy,30,2447,Action,6,125,44,192.8
IMG_3081,12.22,20.32,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125,46.8,179.6
IMG_3081,21.48,30.64,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125,46.8,179.6
IMG_3081,31.74,41.2,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125,46.8,179.6
IMG_3081,43.33,53.12,HandUpDown,107.567,IMG_3081.npy,30,3227,Action,5.2,125,46.8,179.6
